id_skenario,judul_singkat,prioritas,hasil_uat,penguji,tanggal_YYYY_MM_DD,catatan
UAT-PUB-01,Daftar acara,A,,,,
UAT-PUB-02,Detail acara,A,,,,
UAT-PUB-03..06,Form ke konfirmasi,A,,,,
UAT-ADM-01,Login admin,A,,,,
UAT-ADM-02,2FA,B,,,,
UAT-ADM-03,Batas peran,B,,,,
UAT-EVT-01,Edit acara,B,,,,
UAT-EVT-02/03,Inbox dan detail,A,,,,
UAT-EVT-04,Setujui registrasi,A,,,,
UAT-EVT-04b,Tolak opsional,B,,,,
UAT-EVT-05,Kehadiran,B,,,,
UAT-EVT-06,Voucher,B,,,,
UAT-EVT-07,Invoice penyesuaian,B,,,,
UAT-EVT-08,Batal atau refund,B,,,,
UAT-EVT-09,Validasi anggota,B,,,,
UAT-EVT-10,Laporan dan CSV,A,,,,
UAT-DIR-01,Direktori anggota,B,,,,
UAT-MGT-01,Kepengurusan,B,,,,
UAT-VEN-01,Venue,B,,,,
UAT-SET-01,Branding,B,,,,
UAT-SET-02,Template WA,B,,,,
UAT-SET-03,Notifikasi,B,,,,
UAT-SET-04,Harga dan operasional,B,,,,
UAT-SET-05,Profil admin,B,,,,
